cluster,frekuensi_penggunaan_encoded,jumlah_ewallet_aktif_clean,lama_penggunaan_encoded,nominal_transaksi_encoded,pengeluaran_ewallet_bulanan_encoded,promo_memengaruhi_encoded,frekuensi_pindah_promo_encoded,S1_kegunaan_mean,S2_kemudahan_mean,S3_keamanan_mean,S4_kepercayaan_mean,S5_promo_insentif_mean,S6_persepsi_risiko_mean
1,3.6253,2.9532,3.8432,2.8737,3.5804,4.2872,4.2464,4.3758,4.4277,4.3422,4.3437,4.3615,4.3905
2,3.9103,3.1154,4.0128,2.8974,3.8974,1.5385,1.5,1.7468,1.6603,1.7532,1.6763,1.6506,1.6603
