cluster,frekuensi_penggunaan_encoded_scaled,jumlah_ewallet_aktif_clean_scaled,lama_penggunaan_encoded_scaled,nominal_transaksi_encoded_scaled,pengeluaran_ewallet_bulanan_encoded_scaled,promo_memengaruhi_encoded_scaled,frekuensi_pindah_promo_encoded_scaled,S1_kegunaan_mean_scaled,S2_kemudahan_mean_scaled,S3_keamanan_mean_scaled,S4_kepercayaan_mean_scaled,S5_promo_insentif_mean_scaled,S6_persepsi_risiko_mean_scaled
1,0.6563,0.4883,0.7108,0.4684,0.6451,0.8218,0.8116,0.8439,0.8474,0.8355,0.825,0.8404,0.8476
2,0.7276,0.5288,0.7532,0.4744,0.7244,0.1346,0.125,0.1867,0.1094,0.1883,0.1137,0.1627,0.1651
